voiture_seul.e,jamais_avion,pret,vtms_second_main,vrac,produits_locaux,eteindre,baisse_temperature,vegetalien,linge,voiture_seul.e_qual,jamais_avion_qual,pret_qual,vtms_second_main_qual,vrac_qual,produits_locaux_qual,eteindre_qual,baisse_temperature_qual,vegetalien_qual,linge_qual,voiture_seul.e_texte,jamais_avion_texte,pret_texte,vtms_second_main_texte,vrac_texte,produits_locaux_texte,eteindre_texte,baisse_temperature_texte,vegetalien_texte,linge_texte,age,situation,residence,travail
"Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire",,5,1,2,2,2,1,0,4,0,"Je n'ai pas de voiture ni de permis, ni le code.",J'aime bien voyager et j'aimerai bien voir ma mère de temps en temps qui habite à 3000km de chez moi.,"Je trouve qu'emprunter va m'être plus avantageux économiquement parlant et puis cela ne me fait ni chaud ni froid de ne pas être possesseur d'un objet qui n'a pas de valeur sentimentale, que je vais de toute façon utiliser qu'une fois.","J'adore l'achat d'habits de seconde main, c'est un peu comme une chasse au trésor. De plus, cela coute moins cher. Or, certaines situations surtout d'achat de cadeaux m'amene a acheter des habits en magasin . De plus, j'ai parfois un faible pour un certain vetement qui n'est que disponible en magasin.","Certains produits n'ont pas d'équivalents sans emballages or pour ceux qui en ont ou les produits passables dont l'achat dépend simplement de mon plaisir individuel, c'est un choix facile à faire. Exemple : je n'achète plus de crêpe Waouh même si cela me fait mal au petit coeur.",Je suis capable de le faire or cela modifierait mon style de vie. Je devrai notamment m'adapter à cuisiner uniquement avec des fruits et légumes de saison et cela peut être contraignant quand on a un plat spécifique en tête.,Cela diminuera mon impact énergétique donc c'est bien. La seule contrainte est mon ordinateur portable où j'ai parfois des pages ouvertes que j'ai envie/besoin de garder ouvertes.,"Il suffit d'y penser. Cela ne me dérange pas de mettre un pull quand je suis dans ma chambre et quand j'ai froid aux extrémités, il me suffit de me coller au radiateur.","Je suis déjà quasiment végétarien je consomme du poisson mais rarement. La seule contrainte est celle de ne plus pouvoir manger du fromage et des oeufs ou des céréales car ce sont des aliments que j'aime bien consommer. Je ne peux me passer d'un bol de céréale si l'opportunité se montre.
La contrainte économique ne me perturbe pas tant que le fait de devoir me passer des aliments non végétaliens dans ce que je mange.","Cela me coûte moins d'argent et malgré le fait que ma chambre sente le renfermé le long de la journée, je me dis qu'il suffit d'ouvrir une fenêtre pour aérer.",19,3,Principalement citadin,Etudiant
"Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",,3,2,0,3,2,2,0,4,1,Je n'ai pas de voiture et utilise depuis toujours les transports en commun sans que cela ne me gêne Ce n'est pas forcément une perte de temps je peux m'occuper pendant les trajets ,"Voyager est une des choses que j'aime faire le plus, et cela m'attristerait de ne plus pouvoir découvrir de nouvelles choses à travers le monde, d'être bloqué dans un territoire.","Cela permet de faire des économies, de gagner de la place chez soi. De plus on peut partager beaucoup de choses de manière mutuelle, cela peut créer du lien social.","Je ne m'intéresse pas à la mode, aller dans les magasins m'ennuie profondément et je n'aime pas acheter pour acheter et avoir des biens matériels.","Pour certains produits je peux le faire comme pour de la farine, des oeufs, des pâtes. Mais parfois les emballages sont pratiques pour ranger les produits.","Je suis prêt à le faire, cela peut permettre de diversifier ses connaissances sur des fruits et légumes de saison méconnus. Certains produits exotiques peuvent manquer comme la mangue mais il est possible de trouver d'autres alternatives et de bien manger quand même.","Cela peut prendre du temps pour remettre en route certains appareils, mais cela permet quand même de faire des économies d'énergie et ce n'est pas non plus très contraignant, nous sommes juste parfois un peu impatients parce que tout doit aller vite, mais je pense pouvoir très vite m'habituer à le faire","Je le fais déjà, cela permet de faire des économies d'énergie, puis c'est agréable de mettre des habits qui permettent parfois d'avoir bien plus chaud que du chauffage. De plus cela peut réduire les chocs thermiques lorsque l'on sort et qu'il fait froid.","Mes goûts alimentaires sont compliqués, certains végétaux me dégoûtent. Cependant, assaisonnés comme il faut cela peut être faisable. Le plus contraignant serait de se passer d'aliments que j'apprécie beaucoup gustativement et qui pourraient me manquer.","Je le fais déjà, cela ne me dérange pas, j'apprécie prendre du temps à pendre mon linge tout en écoutant des podcasts ou de la musique.",20,3,Principalement citadin,Etudiant
"Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire",,4,1,1,1,1,1,1,3,0,Je suis capable de le faire parce que ce n'est pas compliqué de trouver quelqu'un pour partager un trajet que ce soit pour traverser le pays ou aller faire des courses Et c'est aussi plus économique Par contre cela demande de toujours prendre l'initiative de chercher des covoitureurs ce qui peut devenir une certaine perte de temps et d'énergie à la longue,"Je ne peux pas appliquer cette habitude d'abord pour des raisons économiques, car pour chaque déplacement que j'ai eu à faire un peu loin l'avion est l'option la moins chère tout en étant la plus rapide, sinon je prendrais le train à chaque fois sans problème. D'un point de vue plus personnel j'aurais du mal à me priver pour toujours de l'opportunité de pouvoir visiter d'autres pays et d'autres cultures ponctuellement, ce que seul l'avion permet sur une durée limitée. Cela dit avec plus d'organisation et plus de budget je pense que ça serait envisageable pour moi de le mettre en place dans le futur.","Cela me semble beaucoup plus simple que d'acheter à chaque fois du matériel, en devant m'informer sur le meilleur choix, y perdre de l'argent puis le stocker chez moi. La seule contrainte est de se déplacer mais ça me paraît normal et j'habite assez proche de magasins de bricolage susceptibles de proposer ce service.",C'est quelque chose que je fais déjà et que je trouve plutôt simple. Une des contraintes principales est la présence de magasin de seconde main là où je me trouve mais j'ai toujours réussi à le faire et il y a maintenant beaucoup de choix en ligne aussi. Sinon ça revient en général à acheter des habits normalement avec un peu moins de choix mais généralement soit moins chers soit plus durables donc c'est aussi une économie sur le long terme.,"Je le fais déjà, je pense que c'est difficile à mettre en place au début le temps de s'habituer au choix disponible qui est forcément réduit)et de s'adapter niveau cuisine.","Je le fais déjà, ça m'a seulement demandé de chercher des recettes pour changer mon alimentation au quotidien.",J'ai déjà l'habitude de le faire donc je n'y vois ni bénéfice ni contrainte c'est juste devenu un réflexe ,"Je le fais déjà, la seule contrainte était de changer la température le matin et le soir avant que j'ai un thermostat","Je le fais déjà quasiment, la principale contrainte c'est lorsque je ne suis pas chez moi et que je n'avais pas prévu de manger en extérieur, les options disponibles ne sont en général pas complètement végétal. Il faudrait que je m'organise plus.",Je le fais déjà parce que je trouve ça plus rapide que d'aller jusqu'à une laverie pour avoir accès à un sèche linge.,22,4,Principalement citadin,Etudiant
"Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",,4,1,2,3,4,0,1,4,0,"Même si cela peut sembler contraignant notamment pour rallonger les temps de trajet, faire des détours donc consommer de l'essence je trouve cela intéressant de partager son trajet avec d'autres personnes pour rencontrer partager En plus de cela si tout le monde le faisait il y aurait moins de voitures sur la route et donc moins d'embouteillages","Malgré l'impact sur le climat, j'ai toujours aimé voyager et au vu des prix des autres moyens de transports (train, bus), il n'est pas envisageable pour moi de tout le temps changer de moyen de transport. Même si j'essaie de limiter le nombre de trajet en avion, il faut également noter que l'avion est un moyen de transport rapide comparé au train ou au bus et comme souvent les voyages sont limités par le temps, il ne me semble pas envisageable aujourd'hui de prendre tout le temps d'autres moyens de transport.","Cela voudrait dire que je payerais moins cher les outils plutôt que d'en acheter des neufs (que je n'utiliserais pas souvent), c'est pourquoi il me semble assez facile de mettre cette habitude en place.","Les sites de vêtements de seconde main sont déjà très répandus, ainsi que de nombreuses friperies sont présentes dans les villes. Cela ne m'a donc jamais été difficile de trouver des habits, et c'est également pour cela que j'ai déjà mis cette habitude en place. De plus, je pense que les sites de revente d'habits de seconde main pourront se populariser au cours des prochaines années, rendant les choix encore plus importants.","Les rayons de vracs se développent de plus en plus, même si les choix ne sont toujours pas aussi important que pour les produits emballés il semble être possible de trouver beaucoup de produit en vrac, ce qui facilite la mise en place de cette habitude. ","Il faudrait pour que je puisse changer cette habitudes avoir plus de connaissances sur les produits locaux et de saison, notamment avoir plus de livres de recettes sur comment les cuisiner. En effet, les produits exotiques sont parfois des produits qu'il est simple de cuisiner, que l'on a dans son quotidien et donc se passer de ces produits voudraient dire qu'il faudrait réapprendre à cuisiner en sachant que parfois on n'a pas le temps de cuisiner, ou d'apprendre de nouvelles recettes tout le temps. Me passer de ces produits à plusieurs moments dans l'année ou limiter ma consommation me semble par contre être une habitude que je pourrais mettre en place.","Si au début je pourrais avoir du mal à mettre en place cette habitude car je vais oublier, une fois qu'elle sera ancré dans mes gestes quotidiens, cette habitude ne me semble pas contraignante et simple à mettre en place surtout si je sais qu'elle a un impact sur le réchauffement climatique.","Tout dépend de la température de chez soi, mais un degré en moins n'a pas forcément beaucoup d'impact et mettre un pull ou deux ne me semble pas contraignant si je suis chez moi. ","Même si un régime strictement végétal peut être bénéfique pour la santé, cela me semble difficile à mettre en place tant que ce régime n'est pas développé en restaurant collective, dans les restaurant. En effet, notamment pour les cantines etc, cela impliquerait de ramener son propre repas en sachant qu'on a pas forcément le temps de préparer plusieurs repas le soir en rentrant. Mais j'aime bien l'idée d'apprendre de nouvelles recettes, que de mon côté personnel, je cuisine essentiellement végétal. L'autre problème de ce régime est que certains produits sont chers et ne sont pas forcément abordables pour tout le monde.","Je peux toujours trouver des solutions pour que cela prenne moins de place, pour réorganiser mon espace. En plus les vêtements ne sont plus forcément abîmé par le sèche linge.",21,3,Principalement citadin,Etudiant
"Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire",,1,1,2,3,5,2,1,2,0,Il est assez difficile de devoir s'habituer à l'emploi du temps d'autres personnes sauf pour les personnes de ma famille il peut y avoir des imprévus et au vu du contexte sanitaire actuel c'est plus difficile de prendre des inconnus dans notre voiture,"Je n'ai jamais pris l'avion et cela ne me dérange pas, je voyage principalement en France via la voiture ou le train.","Il serait possible de le mettre en place pour des objets que j'utilise occasionnellement, par exemple j'emprunte déjà à des amis ou des connaissances. Si c'est ponctuel cela ne me dérange pas de ne pas être le propriétaire de l'objet, cela permet même une économie d'argent. Cela permet aussi d'utiliser plus souvent des outils qui servent peu, on augmente leur utilité.",J'essaye déjà de faire cette habitude au maximum mais pour certains vêtements je préfère acheter du neuf par exemple les chaussures puisqu'elles doivent s'adapter à la forme de nos pieds et tout dépend de la qualité de la seconde main et pour certains articles la seconde main peut être plus chère que d'acheter du neuf.,C'est une habitude contraignante car il faut toujours avoir des récipients sur soi et ce n'est pas souvent le cas mais si c'est nécessaire on peut préparer des listes en avance et avoir ses contenants avant d'aller faire les courses + se diriger vers les rayons en vrac (savoir juste réorienter son choix de magasins),C'est très contraignant puisqu'étant donné mon alimentation végétarienne cela voudrait dire que je réduis mon choix au niveau des fruits et légumes en plus je n'aurai plus du tout accès au chocolat ou autres produits plaisirs (j'ai déjà diminué d'autres produits animaliers qui me plaisaient).,"C'est un peu contraignant vu qu'il faut tout le temps y penser mais en soi c'est très rapide à faire, cela ne prendra pas beaucoup plus de temps.","C'est très embêtant lorsqu'il fait très froid en hiver mais cela ne me dérange pas si on peut diminuer notre impact et à la fois faire des économies d'argent, je suis au chauffage collectif et je ne peux pas vraiment contrôler la température donc je m'adapte.","J'ai déjà un régime végétarien et même si c'est assez compliqué au début, c'est tout de même faisable si nos valeurs intemporelles prennent le dessus sur notre plaisir gustatif qui est, lui, momentané mais pour certains aliments comme les produits laitiers cela peut être plus difficile à remplacer.","Je le fais souvent, je n'utilise pas de sèche-linge avec ma famille, on met le linge à sécher tous ensemble.",20,2,Principalement citadin,Etudiant
"Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",,5,3,4,5,3,1,1,3,5,Lorsque je suis à l'école je n'utilise pas de voiture Lorsque je suis chez moi cela pourrait être contraignant pour faire des trajets imprévus et soudains Cela demande de l'organisation Mais cela permet d'être en contact avec d'autres personnes c'est positif,Je trouve cela très contraignant car le tourisme et la découverte d'autres cultures est important pour moi. Cela demande de l'organisation. Les bénéfices sont que je serais fière de réduire mon empreinte carbone en trouvant d'autres solutions (peut-être innovantes) pour voyager.,Je trouve cela contraignant car cela nécessite de l'organisation et du temps. Il faut réfléchir à l'avance au matériel dont on a besoin et se déplacer pour aller le chercher. Je trouve cela bénéfique car cela permet de gagner de la place et d'économiser de l'argent. ,Je trouve cela difficile à faire car les vêtement de seconde mains peuvent être très chers et j'ai des difficultés à trouver des vêtements qui me plaisent. Je trouve cela bénéfique car je serais plus attentive à mes achats et je serais donc plus heureuse d'acheter une pièce. ,"Je serais capable mais je trouve cela très contraignant car il faut avoir une grande quantité de contenants, aller dans des magasins spécialisés qui m'existent pas partout et ne pas avoir beaucoup de choix. Je trouve cela bénéfique car cela me permettrait de limiter mes déchets et donc de sortir moins souvent ma poubelle. Cela est aussi plus esthétique. Cela demande de prendre en note les indications de cuisson au préalable ce qui est contraignant. ","Je trouve difficile aujourd'hui de ne plus consommer de thé, de chocolat par exemple. Mais j'espère pouvoir le faire à l'avenir.",je trouve cela contraignant car cela demande d'y penser tous les jours. Mais je trouve que les bénéfices sont supérieurs aux contraintes. Cela permet de faire des économies d'argent ce qui est bénéfique.,Je trouve cela contraignant car le froid n'est pas agréable parfois mais je trouve cela bénéfique d'un point de vue économique et c'est confortable d'avoir des vêtements épais.,"Je suis végétarienne mais comme je mange à la cantine et que je n'ai pas le temps de bien travailler mes recettes pour que mes besoins soient satisfaits, je trouve cela difficile. Cela est bénéfique car les apports de certains aliments végétaux sont bénéfiques pour la santé. ",J'ai très peu de place dans ma chambre donc je trouve cela difficile. Mais cela permet de faire des économies d'argent et de ne pas détérioer la qualité des vêtements. ,20,3,Principalement citadin,Etudiant
"Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",,1,1,4,5,4,3,2,4,4,je n'ai pas de voiture,"Si il existe un moyen à peu près équivalent j'évite l'avion, sinon ça ne me fera pas renoncer à des vacances. Je limite aussi mes vacances : je ne ferai pas plus de 2 voyages en avion pr an !",aussi un avantage économique,beaucoup contraignant mais c'est une habitude que j'essaie de prendre de plus en plus,je fais quand même un minimum attention à ce que les produits que j'achète ne soient pas trop suremballés,je le fais dans la mesure du possible,ça fait une toute petite différence mais c'est mieux aue rien,on a toujours très peu chauffé chez moi donc ça me semble naturel : en hiver on a le pull aussi à l'intérieur !,consommer de la viande de manière modérée n'est pas dangereux pour le climat,quand on est pas pressés par le temps ou l'espace disponible je le fais,19,3,Principalement citadin,Etudiant
"Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",,2,2,3,1,1,0,1,3,1,Il se peut que pour des événements ponctuels et soudains je n'ai pas le temps de planifier un covoit,Je vais potentiellement en avoir besoin pour mes études ou ma carrière professionnelle ,C'est souvent plus rentable et le matériel ne m'encombre pas après comme ça,Pour des vêtements techniques ou des sous-vêtements je préfère acheter neuf,Ça me permet de devoir plus être créatif en cuisine,Je peux me passer de faire traverser la planète à un avocat pour mon propre plaisir,"Les appareils s'usent moins vite, il y a moins de pollution visuelle la nuit dans mon logement",Je réduis ma consommation énergétique et je réduis ma facture énergétique ,Le plaisir est important dans mon alimentation ,Je prévois mieux mes lessives pour ne pas manquer de vêtements ,21,3,Principalement citadin,Etudiant
"Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire",,2,3,3,4,4,2,1,4,3,,Environnement / possibilité d'utiliser d'autres moyens de transports ,Éviter de tout conserver ,Plus facile de trouver des vêtements qui ne sont pas de seconde main,,"Pour certaines saisons, on peut manquer de certains produits ",Éviter la surconsommation ,Éviter la surconsommation ,Je veux continuer à manger de la viande même si je réduis ma consommation ,,19,3,Principalement citadin,Etudiant
"Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire","Oui, je suis capable de le faire","Non, je ne suis pas capable de le faire",0,1,3,0,0,2,0,0,0,5,"Les péages c’est cher, l’essence c’est cher, rendre service aux autre c’est cool, moins de voitures égal moins de bouchons égal moins de pollution ",L’avion c’est mal et j’ai peur qu’il explose,Ça coûte moins cher de demander une perceuse à son voisin que d’en acheter une,La fast fashion c’est plus possible,Le plastique c’est mal,Local c’est mieux et ça pollue moins,Économie d’énergie,Je mets pas le chauffage,Pour ma santé perso avant tout,Dans un 9 metre carré c’est juste impossible ,21,2,Principalement rural,Etudiant
